CodesAndRegsPermitsID,PermitNumber,Contractor,Description,Category,CategoryName,WorkType,Permittype,Zoning,SquareFeet,PermitFee,ProjectCosts,Address,City,State,ZipCode,CouncilDistrict,IssueDate,Latitude,Longitude
1,BL933238,SMITHFIELD CONSTRUCTION & REMO,,2,Residential,Renovation - Alter - Repair,Building Permit,R5,100,50,2000,508 EMERY RD,LOUISVILLE          ,KY,40206,9,2/24/2015 14:42,38.26221,-85.690062
2,356317,GOODFELLA'S ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,35,3,755 GREENRIDGE LN,LOUISVILLE          ,KY,40207,9,3/14/2013 22:49,38.274029,-85.694103
3,356317,GOODFELLA'S ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,50,3,755 GREENRIDGE LN,LOUISVILLE          ,KY,40207,9,3/14/2013 22:49,38.274029,-85.694103
4,347721,CHRIS NUNN ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R3,0,50,5000,505 CLUB LN,ROLLING FIELDS      ,KY,40207,7,11/21/2012 6:03,38.2690709,-85.673564
5,BL934121,KATHERINE G DOLL,,2,Residential,Renovation - Alter - Repair,Building Permit,R3,265,50,15000,505 CLUB LN,ROLLING FIELDS      ,KY,40207,7,3/6/2015 12:41,38.2690709,-85.673564
6,349115,WEBER HEATING & A/C INC,,2,Residential,New,HVAC Permit,R3,0,75,8000,505 CLUB LN,ROLLING FIELDS      ,KY,40207,7,12/11/2012 9:32,38.2690709,-85.673564
7,13BL5052,SMITHFIELD CONSTRUCTION & REMO,,2,Residential,Renovation - Alter - Repair,Building Permit,R3,1366,102,45000,461 SWING LN,ROLLING FIELDS      ,KY,40207,7,9/13/2013 15:07,38.2699969,-85.676171
8,13BL1764,SMITHFIELD CONSTRUCTION & REMO,,2,Residential,Addition,Building Permit,R3,400,50,35000,461 SWING LN,ROLLING FIELDS      ,KY,40207,7,7/11/2013 12:29,38.2699969,-85.676171
9,14BL2357,PROMASTER CONTRACTING INC,,2,Residential,Addition,Building Permit,R5,665,50,95000,503 BRANDON RD,LOUISVILLE          ,KY,40207,9,4/22/2014 12:17,38.267933,-85.684999
10,356927,KAYROUZ HEATING & A/C,,2,Residential,New,HVAC Permit,R5,0,75,1000,326 WINTON AVE,LOUISVILLE          ,KY,40206,9,3/25/2013 7:58,38.263641,-85.683171
11,EL941020,MANOOSH'S ELECTRIC CO,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,50,250,300 CLAREMONT AVE,LOUISVILLE          ,KY,40206,9,5/13/2015 14:21,38.259371,-85.676888
12,EL941020,MANOOSH'S ELECTRIC CO,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,50,250,300 CLAREMONT AVE,LOUISVILLE          ,KY,40206,9,5/13/2015 14:21,38.259371,-85.676888
13,EL941020,MANOOSH'S ELECTRIC CO,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,50,250,300 CLAREMONT AVE,LOUISVILLE          ,KY,40206,9,5/13/2015 14:21,38.259371,-85.676888
14,EL941020,MANOOSH'S ELECTRIC CO,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,35,250,300 CLAREMONT AVE,LOUISVILLE          ,KY,40206,9,5/13/2015 14:21,38.259371,-85.676888
15,BL936406,DISTINCTIVE DESIGN REMODELING,,2,Residential,Addition,Building Permit,R5,292,50,30000,300 HILLCREST AVE,LOUISVILLE          ,KY,40206,9,3/31/2015 16:50,38.258287,-85.685222
16,EL941174,MUTT'S ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,50,300,300 HILLCREST AVE,LOUISVILLE          ,KY,40206,9,5/14/2015 13:51,38.258287,-85.685222
17,EL941174,MUTT'S ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,35,300,300 HILLCREST AVE,LOUISVILLE          ,KY,40206,9,5/14/2015 13:51,38.258287,-85.685222
18,BL930363,THE LOUIS PARTNERSHIP INC,,2,Residential,Renovation - Alter - Repair,Building Permit,R5,430,50,15000,330 MOCKINGBIRD VALLEY RD,LOUISVILLE          ,KY,40207,9,1/23/2015 9:11,38.265938,-85.679204
19,334099,ALBERT E FIORINI,,2,Residential,New,HVAC Permit,R5,0,75,6030,533 RIDGEWOOD RD,LOUISVILLE          ,KY,40207,9,7/3/2012 16:27,38.26619,-85.684258
20,362950,STIVERS HEATING AC,,2,Residential,New,HVAC Permit,R5,0,50,1,320 MOCKINGBIRD VALLEY RD,LOUISVILLE          ,KY,40207,9,5/21/2013 9:32,38.265413,-85.678741
21,362950,STIVERS HEATING AC,,2,Residential,New,HVAC Permit,R5,0,75,1,320 MOCKINGBIRD VALLEY RD,LOUISVILLE          ,KY,40207,9,5/21/2013 9:32,38.265413,-85.678741
22,357606,KELLEY CONSTRUCTION INC,,2,Residential,Renovation - Alter - Repair,Building Permit,R3,2060,154,231000,527 CLUB LN,ROLLING FIELDS      ,KY,40207,7,3/29/2013 12:38,38.271093,-85.676659
23,EL937534,NTA MAINTENANCE,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,35,2000,309 HILLCREST AVE,LOUISVILLE          ,KY,40206,9,4/10/2015 9:16,38.258774,-85.684573
24,EL937534,NTA MAINTENANCE,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,100,2000,309 HILLCREST AVE,LOUISVILLE          ,KY,40206,9,4/10/2015 9:16,38.258774,-85.684573
25,EL937534,NTA MAINTENANCE,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,50,2000,309 HILLCREST AVE,LOUISVILLE          ,KY,40206,9,4/10/2015 9:16,38.258774,-85.684573
26,13BL4887,AQUATIC CONCEPTS,,2,Residential,Pool,Building Permit,R5,297,50,20000,110 HILLCREST AVE,LOUISVILLE          ,KY,40206,9,9/4/2013 11:31,38.255444,-85.684714
27,356147,STANSBURY ELECTRIC CO,,2,Residential,Emergency Repair,Electrical Permit,R5,0,50,900,136 N CRESTMOOR AVE,LOUISVILLE          ,KY,40206,9,3/14/2013 8:18,38.256072,-85.674324
28,356147,STANSBURY ELECTRIC CO,,2,Residential,Emergency Repair,Electrical Permit,R5,0,50,900,136 N CRESTMOOR AVE,LOUISVILLE          ,KY,40206,9,3/14/2013 8:18,38.256072,-85.674324
29,361043,METRO PARKS,,1,Commercial,New,Electrical Permit,R1,0,50,500,409 NORTHWESTERN PKY,LOUISVILLE          ,KY,40212,5,5/2/2013 13:50,38.270649,-85.818863
30,14HV1149,BRYANT BURNETT HEATING AC,,2,Residential,Replacement,HVAC Permit,R5,0,75,1904,808 CECIL AVE,LOUISVILLE          ,KY,40211,1,1/8/2014 11:24,38.247866,-85.82118
31,BL943800,SOLID ROCK CONSTRUCTION SERV,,2,Residential,Renovation - Alter - Repair,Building Permit,R5,1000,75,25000,639 N BIRCHWOOD AVE,LOUISVILLE          ,KY,40206,9,6/9/2015 9:36,38.2671009,-85.698722
32,357120,"ADAMS CONSTRUCTION SERVICES, I",,2,Residential,Addition,Building Permit,R4,598,44,13000,112 N KEATS AVE,LOUISVILLE          ,KY,40206,9,3/25/2013 13:57,38.254475,-85.7022889
33,357120,"ADAMS CONSTRUCTION SERVICES, I",,2,Residential,Addition,Building Permit,R4,598,5,13000,112 N KEATS AVE,LOUISVILLE          ,KY,40206,9,3/25/2013 13:57,38.254475,-85.7022889
34,358267,D & S ELECTRIC INC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R4,0,50,800,112 N KEATS AVE,LOUISVILLE          ,KY,40206,9,4/5/2013 12:09,38.254475,-85.7022889
35,358267,D & S ELECTRIC INC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R4,0,35,800,112 N KEATS AVE,LOUISVILLE          ,KY,40206,9,4/5/2013 12:09,38.254475,-85.7022889
36,13BL1597,BAILEY REMODELING & CONSTRUCTI,,2,Residential,Renovation - Alter - Repair,Building Permit,R5,380,50,47000,766 GREENRIDGE LN,LOUISVILLE          ,KY,40207,9,6/27/2013 14:22,38.2719498,-85.692815
37,14HV5987,AUTOMATIC AIR CORP,,2,Residential,Replacement,HVAC Permit,R3,0,75,500,431 MAYFAIR LN,MOCKINGBIRD VALLEY  ,KY,40207,7,6/4/2014 10:08,38.268406,-85.6764929
38,14HV8651,BEST CHOICE HEATING & AIR LLC,,2,Residential,Replacement,HVAC Permit,R5,0,75,3000,319 BELVAR AVE,LOUISVILLE          ,KY,40206,9,8/20/2014 14:43,38.262791,-85.683231
39,352389,STONEHENGE CONSTRUCTION LLC,,2,Residential,Renovation - Alter - Repair,Building Permit,R5,400,50,30000,210 BLACKBURN AVE,LOUISVILLE          ,KY,40206,9,1/25/2013 14:09,38.257143,-85.675822
40,345156,A N Roth Company,,2,Residential,New,HVAC Permit,R1,0,75,46000,404 MOCKINGBIRD VALLEY RD,LOUISVILLE          ,KY,40207,7,10/26/2012 7:57,38.27417,-85.69088
41,298072,GREATHOUSE INC,,2,Residential,Renovation - Alter - Repair,Building Permit,R1,4800,200,75000,404 MOCKINGBIRD VALLEY RD,LOUISVILLE          ,KY,40207,7,5/27/2011 8:16,38.27417,-85.69088
42,359873,CORRIGAN ELECTRIC CO INC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R1,0,35,2000,612 CLUB LN,MOCKINGBIRD VALLEY  ,KY,40207,7,4/22/2013 10:15,38.271389,-85.679718
43,348048,BRUENDERMAN CONSTRUCTION,,2,Residential,Addition,Building Permit,R1,1700,15,100000,612 CLUB LN,MOCKINGBIRD VALLEY  ,KY,40207,7,11/27/2012 11:16,38.271389,-85.679718
44,348048,BRUENDERMAN CONSTRUCTION,,2,Residential,Addition,Building Permit,R1,1700,97,100000,612 CLUB LN,MOCKINGBIRD VALLEY  ,KY,40207,7,11/27/2012 11:16,38.271389,-85.679718
45,359873,CORRIGAN ELECTRIC CO INC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R1,0,50,2000,612 CLUB LN,MOCKINGBIRD VALLEY  ,KY,40207,7,4/22/2013 10:15,38.271389,-85.679718
46,351644,CUSTOM POOL CONTRACTORS INC,,2,Residential,Addition,Building Permit,R1,459,50,55668,612 CLUB LN,MOCKINGBIRD VALLEY  ,KY,40207,7,1/23/2013 16:05,38.271389,-85.679718
47,BL921495,BOHN CONSTRUCTION LLC,,2,Residential,Renovation - Alter - Repair,Building Permit,R5,300,50,75000,709 GREENRIDGE LN,LOUISVILLE          ,KY,40207,9,10/28/2014 9:09,38.270039,-85.689464
48,13BL1459,PAPROCKI LLC,,2,Residential,Addition,Building Permit,R2,2042,153,100000,62 INDIAN HILLS TRL,INDIAN HILLS        ,KY,40207,7,6/20/2013 16:17,38.280783,-85.673671
49,351511,ZIPPER A/C & HEATING,,2,Residential,New,HVAC Permit,R5,0,75,100,416 JARVIS LN,LOUISVILLE          ,KY,40207,9,1/16/2013 8:01,38.266846,-85.683545
50,HV917378,BECHT HEATING COOLING INC,,2,Residential,Replacement,HVAC Permit,R5,0,75,5380,753 GREENRIDGE LN,LOUISVILLE          ,KY,40207,9,11/19/2014 16:23,38.273886,-85.693478
51,HV938919,ALL SERVICE WARRANTY INC,,2,Residential,Replacement,HVAC Permit,R5,0,105,1000,645 N BIRCHWOOD AVE,LOUISVILLE          ,KY,40206,9,4/27/2015 16:00,38.26761,-85.699418
