INCIDENT_NUMBER,UCR_CATEGORY,TYPE_OF_FIREARM,FIREARM_MANUFACTURER,FIREARM_MODEL,FIREARM_CALIBER,RECOVERY_DATE,RECOVERY_BLOCK_ADDRESS,CITY,state,RECOVERY_ZIPCODE,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE,X15,X16,age_group,shooting_yearmon,shooting_year,year
80-10-010435,WPNS LAW VIOLATION,"SHOTGUN, SINGLE-SHOT",SAVAGE ARMS INC,NA,12GA,2010-02-12,HIGHLAND AVE / SWAN ST,LOUISVILLE,KY,40204,WHITE,M,20,NA,NA,"(10,20]",Feb 2010,2010,2010
80-10-010759,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40291,NULL,NULL,NULL,NA,NA,NA,NA,NA,2010
80-10-011494,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",MANURIN S.A.,NA,765M,2010-02-17,9400 BLOCK NATIONAL TPKE,LOUISVILLE,KY,40118,WHITE,M,44,NA,NA,"(40,50]",Feb 2010,2010,2010
80-10-011506,NARCOTICS,"SHOTGUN, PUMP ACTION",REMINGTON ARMS,SHOTGUN: MODEL,20GA,2010-02-17,4500 BLOCK LANDSIDE DR,LOUISVILLE,KY,40220,BLACK,M,19,NA,NA,"(10,20]",Feb 2010,2010,2010
80-10-011506,NARCOTICS,"SHOTGUN, PUMP ACTION",REMINGTON ARMS,SHOTGUN: MODEL,20GA,2010-02-17,4500 BLOCK LANDSIDE DR,LOUISVILLE,KY,40220,BLACK,M,19,NA,NA,"(10,20]",Feb 2010,2010,2010
80-10-011506,NARCOTICS,"SHOTGUN, PUMP ACTION",REMINGTON ARMS,SHOTGUN: MODEL,20GA,2010-02-17,4500 BLOCK LANDSIDE DR,LOUISVILLE,KY,40220,BLACK,M,19,NA,NA,"(10,20]",Feb 2010,2010,2010
80-10-011506,NARCOTICS,"SHOTGUN, PUMP ACTION",REMINGTON ARMS,SHOTGUN: MODEL,20GA,2010-02-17,4500 BLOCK LANDSIDE DR,LOUISVILLE,KY,40220,BLACK,M,19,NA,NA,"(10,20]",Feb 2010,2010,2010
80-10-013230,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",NA,PA-63,9MM,2010-02-24,E BROADWAY / S JACKSON ST,LOUISVILLE,KY,40202,BLACK,M,22,NA,NA,"(20,30]",Feb 2010,2010,2010
80-10-013628,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,SW40VE,40C,2010-02-25,2100 BLOCK W GAULBERT AVE,LOUISVILLE,KY,40210,BLACK,M,26,NA,NA,"(20,30]",Feb 2010,2010,2010
80-10-014366,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",NA,NA,9MM,2010-02-28,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Feb 2010,2010,2010
